add another song to the cita romántica playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN cita romántica CLOSEplaylist
add this album to my  spotify orchestra cello playlist	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN spotify orchestra cello CLOSEplaylist
i want to put goldy mcjohn on my  rock party playlist	AddToPlaylist artistOPEN goldy mcjohn CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN rock party CLOSEplaylist
add this song to noreen's  fresh finds six strings	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN noreen's CLOSEplaylist_owner playlistOPEN fresh finds six strings CLOSEplaylist
a shawnna to the warm hearts feel good playlist.	AddToPlaylist artistOPEN shawnna CLOSEartist playlistOPEN warm hearts feel good CLOSEplaylist
add this tune to rock save the queen	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlistOPEN rock save the queen CLOSEplaylist
add firehouse to my  acoustic soul list.	AddToPlaylist entity_nameOPEN firehouse CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN acoustic soul CLOSEplaylist
add this david cole  track to my  totally stress free	AddToPlaylist artistOPEN david cole CLOSEartist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN totally stress free CLOSEplaylist
add progress to my  clásica para todos playlist.	AddToPlaylist entity_nameOPEN progress CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN clásica para todos CLOSEplaylist
add the artist  tony thompson to my  canta en la ducha playlist	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN tony thompson CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN canta en la ducha CLOSEplaylist
add the artist to my  this is mozart playlist.	AddToPlaylist music_itemOPEN artist CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN this is mozart CLOSEplaylist
add this track to downtempo beats	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN downtempo beats CLOSEplaylist
add quicksand to my  valentine's day love playlist	AddToPlaylist entity_nameOPEN quicksand CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN valentine's day love CLOSEplaylist
add feel the passion to my  this is kudai playlist.	AddToPlaylist entity_nameOPEN feel the passion CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN this is kudai CLOSEplaylist
add this song to my  us latin top 50 playlist	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN us latin top 50 CLOSEplaylist
put this artist in pachangueo total	AddToPlaylist music_itemOPEN artist CLOSEmusic_item playlistOPEN pachangueo total CLOSEplaylist
add vl mike to my  dcode2016 playlist	AddToPlaylist artistOPEN vl mike CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN dcode2016 CLOSEplaylist
add how to my  week end playlist	AddToPlaylist entity_nameOPEN how CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN week end CLOSEplaylist
add norma jean to my  pure rock & roll playlist.	AddToPlaylist artistOPEN norma jean CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN pure rock & roll CLOSEplaylist
add kirk hammett to calm down	AddToPlaylist artistOPEN kirk hammett CLOSEartist playlistOPEN calm down CLOSEplaylist
add on with the show to my  beast mode playlist	AddToPlaylist entity_nameOPEN on with the show CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN beast mode CLOSEplaylist
add kjetil vidar haraldstad to listas de éxitos	AddToPlaylist artistOPEN kjetil vidar haraldstad CLOSEartist playlistOPEN listas de éxitos CLOSEplaylist
can you add xanadu to latin alternative music	AddToPlaylist entity_nameOPEN xanadu CLOSEentity_name playlistOPEN latin alternative music CLOSEplaylist
add this track to krystal's  piano 100	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN krystal's CLOSEplaylist_owner playlistOPEN piano 100 CLOSEplaylist
can you put this track onto the playlist the selektor ?	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN the selektor CLOSEplaylist
my  jazz for loving couples needs more push the button	AddToPlaylist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN jazz for loving couples CLOSEplaylist entity_nameOPEN push the button CLOSEentity_name
add the album  the martin garrix show to my playlist	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN the martin garrix show CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner
add gina schock to workout twerkout	AddToPlaylist artistOPEN gina schock CLOSEartist playlistOPEN workout twerkout CLOSEplaylist
add this tune to cristina's  endorphin rush playlist	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN cristina's CLOSEplaylist_owner playlistOPEN endorphin rush CLOSEplaylist
add this tune to my  it's a southern thing playlist	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN it's a southern thing CLOSEplaylist
add ik tara to laundry playlst	AddToPlaylist entity_nameOPEN ik tara CLOSEentity_name playlistOPEN laundry CLOSEplaylist
add this tune to this is nicky jam	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlistOPEN this is nicky jam CLOSEplaylist
can you add something by the artist  paul cargnello to my  chill tracks playlist	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN paul cargnello CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN chill tracks CLOSEplaylist
add runaljod gap var ginnunga to ashlee's playlist titled forever country	AddToPlaylist entity_nameOPEN runaljod gap var ginnunga CLOSEentity_name playlist_ownerOPEN ashlee's CLOSEplaylist_owner playlistOPEN forever country CLOSEplaylist
put the orange and the green on los 40 radio éxitos	AddToPlaylist entity_nameOPEN the orange and the green CLOSEentity_name playlistOPEN los 40 radio éxitos CLOSEplaylist
add an album by liza oumarova to the steampunk playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item artistOPEN liza oumarova CLOSEartist playlistOPEN steampunk CLOSEplaylist
please add a song to ines's playlist called metal party	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN ines's CLOSEplaylist_owner playlistOPEN metal party CLOSEplaylist
for playlist todo latino add absolutely sweet marie	AddToPlaylist playlistOPEN todo latino CLOSEplaylist entity_nameOPEN absolutely sweet marie CLOSEentity_name
add gn to night vibes	AddToPlaylist entity_nameOPEN gn CLOSEentity_name playlistOPEN night vibes CLOSEplaylist
can you add blood on the face to the playlist called heartland country	AddToPlaylist entity_nameOPEN blood on the face CLOSEentity_name playlistOPEN heartland country CLOSEplaylist
the spring classical playlist needs partners in crime added to it.	AddToPlaylist playlistOPEN spring classical CLOSEplaylist entity_nameOPEN partners in crime CLOSEentity_name
add the artist  tomohisa yamashita to the conexiones playlist	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN tomohisa yamashita CLOSEartist playlistOPEN conexiones CLOSEplaylist
add written in red to my  cleaning the house playlist.	AddToPlaylist entity_nameOPEN written in red CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN cleaning the house CLOSEplaylist
add cordell mosson to my  i love my neo soul list	AddToPlaylist artistOPEN cordell mosson CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN i love my neo soul CLOSEplaylist
add album to feeling blue	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN feeling blue CLOSEplaylist
i want to put another album into the a peaceful rush hour playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN a peaceful rush hour CLOSEplaylist
open my  acoustic concentration playlist and play an entire album	AddToPlaylist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN acoustic concentration CLOSEplaylist music_itemOPEN album CLOSEmusic_item
add sonntag to my  assassin's creed	AddToPlaylist entity_nameOPEN sonntag CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN assassin's creed CLOSEplaylist
i want more francis healy in the rockin' vibes playlist.	AddToPlaylist artistOPEN francis healy CLOSEartist playlistOPEN rockin' vibes CLOSEplaylist
add gareth gates to my  autumn playlist	AddToPlaylist artistOPEN gareth gates CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN autumn CLOSEplaylist
add tune to sxsw fresh playlist	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlistOPEN sxsw fresh CLOSEplaylist
add track to todo latino	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN todo latino CLOSEplaylist
add to my  verano list a song by andy lee	AddToPlaylist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN verano CLOSEplaylist music_itemOPEN song CLOSEmusic_item artistOPEN andy lee CLOSEartist
add song to my  club hits	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN club hits CLOSEplaylist
add this tune to my playlist titled uncharted 4 nathan drake	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN uncharted 4 nathan drake CLOSEplaylist
add 100% te ljubam to the hit remix playlist	AddToPlaylist entity_nameOPEN 100% te ljubam CLOSEentity_name playlistOPEN hit remix CLOSEplaylist
put this album on totally alternative	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN totally alternative CLOSEplaylist
put this album into becky's  infinite indie folk playlist	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN becky's CLOSEplaylist_owner playlistOPEN infinite indie folk CLOSEplaylist
add yuna ito to the hot rods & horror shows playlist.	AddToPlaylist artistOPEN yuna ito CLOSEartist playlistOPEN hot rods & horror shows CLOSEplaylist
add the artist  ruby to my  digging now list	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN ruby CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN digging now CLOSEplaylist
add this tune to my  it's a southern thing playlist	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN it's a southern thing CLOSEplaylist
add the album to the top 100 country tracks on spotify playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN top 100 country tracks on spotify CLOSEplaylist
add this track to the classical music for smart kids playlist	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN classical music for smart kids CLOSEplaylist
add an album to corinne's  beast mode playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN corinne's CLOSEplaylist_owner playlistOPEN beast mode CLOSEplaylist
include the album by arthur rhames in urban poet	AddToPlaylist music_itemOPEN album CLOSEmusic_item artistOPEN arthur rhames CLOSEartist playlistOPEN urban poet CLOSEplaylist
i need to add to the all things post starting with my favorites from the silence	AddToPlaylist playlistOPEN all things post CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner entity_nameOPEN the silence CLOSEentity_name
add nothing fancy to meditate to sounds of nature playlist	AddToPlaylist entity_nameOPEN nothing fancy CLOSEentity_name playlistOPEN meditate to sounds of nature CLOSEplaylist
add cj snare to my  indie mim playlist	AddToPlaylist artistOPEN cj snare CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN indie mim CLOSEplaylist
add ernie hawkins to the dubstep playlist.	AddToPlaylist artistOPEN ernie hawkins CLOSEartist playlistOPEN dubstep CLOSEplaylist
please put this song onto my  urban hits playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN urban hits CLOSEplaylist
add the spine surfs alone to my playlist called the funny thing about football is	AddToPlaylist entity_nameOPEN the spine surfs alone CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN the funny thing about football is CLOSEplaylist
add ajoy chakrabarty to women of country playlist	AddToPlaylist artistOPEN ajoy chakrabarty CLOSEartist playlistOPEN women of country CLOSEplaylist
add this song to brooklyn beat	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN brooklyn beat CLOSEplaylist
can you add some disco to my playlist called genuine r&b	AddToPlaylist entity_nameOPEN disco CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN genuine r&b CLOSEplaylist
add anthony hamilton to my list women of hip hop	AddToPlaylist artistOPEN anthony hamilton CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN women of hip hop CLOSEplaylist
add as i was going to st ives to the fantasía playlist.	AddToPlaylist entity_nameOPEN as i was going to st ives CLOSEentity_name playlistOPEN fantasía CLOSEplaylist
put paula abdul on musica española 2017	AddToPlaylist artistOPEN paula abdul CLOSEartist playlistOPEN musica española 2017 CLOSEplaylist
add the entity por una cabeza to my playlist forever alone	AddToPlaylist entity_nameOPEN por una cabeza CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN forever alone CLOSEplaylist
add track to afternoon train ride	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN afternoon train ride CLOSEplaylist
add silver apples to teh sin estrés playlist.	AddToPlaylist entity_nameOPEN silver apples CLOSEentity_name playlistOPEN sin estrés CLOSEplaylist
please add this song to my  llegando a casa palylist	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN llegando a casa CLOSEplaylist
add the song to the martin garrix show playlist	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN the martin garrix show CLOSEplaylist
add more david wolfenberger to my  duetos playlist.	AddToPlaylist artistOPEN david wolfenberger CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN duetos CLOSEplaylist
i want to add club mix to the playlist with the title 50 clásicos	AddToPlaylist entity_nameOPEN club mix CLOSEentity_name playlistOPEN 50 clásicos CLOSEplaylist
add eric bibb to country coffeehouse	AddToPlaylist artistOPEN eric bibb CLOSEartist playlistOPEN country coffeehouse CLOSEplaylist
add gregg bissonette to my  us latin top 50 playlist	AddToPlaylist artistOPEN gregg bissonette CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN us latin top 50 CLOSEplaylist
add track  70s smash hits to my	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN 70s smash hits CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner
add this album to my  blues playlist	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN blues CLOSEplaylist
i want this song on the playlist called chill vibes	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN chill vibes CLOSEplaylist
add this adam clayton  tune to sxsw fresh playlist	AddToPlaylist artistOPEN adam clayton CLOSEartist music_itemOPEN tune CLOSEmusic_item playlistOPEN sxsw fresh CLOSEplaylist
add this teddy charles  album to this is pavarotti  my playlist	AddToPlaylist artistOPEN teddy charles CLOSEartist music_itemOPEN album CLOSEmusic_item playlistOPEN this is pavarotti CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner
can you add confessions to my playlist called clásica	AddToPlaylist entity_nameOPEN confessions CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN clásica CLOSEplaylist
please add tobymac 's song onto the indiespensables playlist.	AddToPlaylist artistOPEN tobymac CLOSEartist music_itemOPEN song CLOSEmusic_item playlistOPEN indiespensables CLOSEplaylist
add an album to playlist emily dickinson	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN emily dickinson CLOSEplaylist
add buddy desylva to my  this is j balvin playlist	AddToPlaylist artistOPEN buddy desylva CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN this is j balvin CLOSEplaylist
ad czarna dziewczyna to instrumental madness playlist	AddToPlaylist entity_nameOPEN czarna dziewczyna CLOSEentity_name playlistOPEN instrumental madness CLOSEplaylist
i want to add this song to my  infantil playlist	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN infantil CLOSEplaylist
add vera to my  80's jam session playlist	AddToPlaylist entity_nameOPEN vera CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN 80's jam session CLOSEplaylist
add a compilation of warped music ii to workout twerkout playlist	AddToPlaylist entity_nameOPEN a compilation of warped music ii CLOSEentity_name playlistOPEN workout twerkout CLOSEplaylist
add a track to my list made in puerto rico	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN made in puerto rico CLOSEplaylist
add this track to my  epic wall of sound playlist	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN epic wall of sound CLOSEplaylist
add michael lepond to electronic bliss	AddToPlaylist artistOPEN michael lepond CLOSEartist playlistOPEN electronic bliss CLOSEplaylist
add angela au to the playlist radar latino	AddToPlaylist artistOPEN angela au CLOSEartist playlistOPEN radar latino CLOSEplaylist
add artist  abdel halim hafez to my  conexiones playlist	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN abdel halim hafez CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN conexiones CLOSEplaylist
add track to this is puccini	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlistOPEN this is puccini CLOSEplaylist
i need to add a song to my  lo que suena new york playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN lo que suena new york CLOSEplaylist
add this artist to this is rosana	AddToPlaylist music_itemOPEN artist CLOSEmusic_item playlistOPEN this is rosana CLOSEplaylist
add joelia savitsjeva in 88 keys	AddToPlaylist artistOPEN joelia savitsjeva CLOSEartist playlistOPEN 88 keys CLOSEplaylist
add alain caron to my  travelling playlist	AddToPlaylist artistOPEN alain caron CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN travelling CLOSEplaylist
add the r l burnside  album to my  nothing but a party r&b playlist	AddToPlaylist artistOPEN r l burnside CLOSEartist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN nothing but a party r&b CLOSEplaylist
add steve jordan to inez's  tgif	AddToPlaylist artistOPEN steve jordan CLOSEartist playlist_ownerOPEN inez's CLOSEplaylist_owner playlistOPEN tgif CLOSEplaylist
add to my playlist all funked up this track	AddToPlaylist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN all funked up CLOSEplaylist music_itemOPEN track CLOSEmusic_item
add satisfied to my  rockin' vibes playlist	AddToPlaylist entity_nameOPEN satisfied CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN rockin' vibes CLOSEplaylist
add this artist named prince to the playlist all new all now	AddToPlaylist music_itemOPEN artist CLOSEmusic_item artistOPEN prince CLOSEartist playlistOPEN all new all now CLOSEplaylist
add billy strayhorn to my  highway 61 playlist	AddToPlaylist artistOPEN billy strayhorn CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN highway 61 CLOSEplaylist
add ramble on to halloween teens	AddToPlaylist entity_nameOPEN ramble on CLOSEentity_name playlistOPEN halloween teens CLOSEplaylist
add this song to rock party	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN rock party CLOSEplaylist
i want to add lady maisry to my playlist lo que suena new york	AddToPlaylist entity_nameOPEN lady maisry CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN lo que suena new york CLOSEplaylist
i want to add an album to noreen's  endorphin rush playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN noreen's CLOSEplaylist_owner playlistOPEN endorphin rush CLOSEplaylist
add famous to my playlist lo que suena new york	AddToPlaylist entity_nameOPEN famous CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN lo que suena new york CLOSEplaylist
add shawn camp to my  soulful disco playlist.	AddToPlaylist artistOPEN shawn camp CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN soulful disco CLOSEplaylist
add bonobo to queen playlis	AddToPlaylist artistOPEN bonobo CLOSEartist playlistOPEN queen CLOSEplaylist
add hold my liquor to electronow	AddToPlaylist entity_nameOPEN hold my liquor CLOSEentity_name playlistOPEN electronow CLOSEplaylist
add tobias sammet to my  bring back the 90s list	AddToPlaylist artistOPEN tobias sammet CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN bring back the 90s CLOSEplaylist
